num_date_time,건물번호,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),전력소비량(kWh)
27_20240611 23,27,20240611 23,22.3,0.0,1.6,67.0,0.0,0.0,725.04
27_20240612 00,27,20240612 00,21.7,0.0,1.0,69.0,0.0,0.0,503.1
27_20240612 01,27,20240612 01,21.2,0.0,0.3,70.0,0.0,0.0,402.84
27_20240612 02,27,20240612 02,20.7,0.0,0.9,73.0,0.0,0.0,398.16
27_20240612 03,27,20240612 03,20.4,0.0,1.6,77.0,0.0,0.0,400.32
27_20240612 04,27,20240612 04,19.8,0.0,0.6,76.0,0.0,0.0,408.78
27_20240612 05,27,20240612 05,19.4,0.0,0.7,80.0,0.0,0.0,422.1
27_20240612 06,27,20240612 06,19.6,0.0,2.2,80.0,0.0,0.07,473.76
27_20240612 07,27,20240612 07,19.9,0.0,1.4,82.0,0.8,0.47,622.98
27_20240612 08,27,20240612 08,21.9,0.0,1.6,73.0,1.0,1.17,1019.88
27_20240612 09,27,20240612 09,24.2,0.0,1.6,62.0,1.0,1.84,1692.0
27_20240612 10,27,20240612 10,26.0,0.0,2.4,50.0,1.0,2.51,1933.2
27_20240612 11,27,20240612 11,27.9,0.0,2.0,48.0,1.0,3.1,1942.38
27_20240612 12,27,20240612 12,29.3,0.0,1.9,42.0,1.0,3.41,1923.66
27_20240612 13,27,20240612 13,30.6,0.0,1.7,39.0,1.0,3.36,1980.72
27_20240612 14,27,20240612 14,31.5,0.0,2.6,38.0,1.0,3.44,1953.72
27_20240612 15,27,20240612 15,30.9,0.0,3.8,43.0,1.0,3.03,2002.68
27_20240612 16,27,20240612 16,30.0,0.0,3.4,43.0,1.0,2.35,1931.4
27_20240612 17,27,20240612 17,28.7,0.0,3.9,44.0,0.6,1.41,1907.46
27_20240612 18,27,20240612 18,28.0,0.0,3.3,50.0,0.9,1.27,1887.48
27_20240612 19,27,20240612 19,25.3,0.0,3.8,56.0,0.0,0.24,1856.34
27_20240612 20,27,20240612 20,24.2,0.0,2.7,63.0,0.0,0.06,1780.38
27_20240612 21,27,20240612 21,23.4,0.0,2.4,65.0,0.0,0.0,1266.48
27_20240612 22,27,20240612 22,22.8,0.0,1.8,65.0,0.0,0.0,820.62
27_20240612 23,27,20240612 23,22.5,0.0,1.4,66.0,0.0,0.0,721.44
27_20240613 00,27,20240613 00,22.2,0.0,2.1,67.0,0.0,0.0,502.56
27_20240613 01,27,20240613 01,21.8,0.0,0.2,67.0,0.0,0.0,406.08
27_20240613 02,27,20240613 02,21.5,0.0,0.2,64.0,0.0,0.0,392.04
27_20240613 03,27,20240613 03,21.0,0.0,0.6,65.0,0.0,0.0,393.66
27_20240613 04,27,20240613 04,20.7,0.0,0.5,69.0,0.0,0.0,394.2
27_20240613 05,27,20240613 05,20.1,0.0,1.1,69.0,0.0,0.0,395.1
27_20240613 06,27,20240613 06,20.1,0.0,1.2,71.0,0.0,0.04,463.32
27_20240613 07,27,20240613 07,21.1,0.0,1.9,72.0,0.8,0.49,655.74
27_20240613 08,27,20240613 08,23.3,0.0,1.8,66.0,1.0,1.12,1069.2
27_20240613 09,27,20240613 09,25.6,0.0,0.8,59.0,1.0,1.95,1668.42
27_20240613 10,27,20240613 10,27.5,0.0,1.2,53.0,1.0,2.56,2071.98
27_20240613 11,27,20240613 11,29.1,0.0,2.1,46.0,1.0,3.08,2025.18
27_20240613 12,27,20240613 12,30.6,0.0,2.5,41.0,1.0,3.43,1960.38
27_20240613 13,27,20240613 13,31.5,0.0,3.5,32.0,1.0,3.55,2014.92
27_20240613 14,27,20240613 14,32.2,0.0,3.0,36.0,1.0,3.47,2014.38
27_20240613 15,27,20240613 15,32.3,0.0,2.5,38.0,1.0,3.14,1940.04
27_20240613 16,27,20240613 16,32.6,0.0,3.2,33.0,1.0,2.7,1930.68
27_20240613 17,27,20240613 17,31.8,0.0,3.8,35.0,1.0,2.09,1936.44
27_20240613 18,27,20240613 18,31.0,0.0,3.2,37.0,1.0,1.39,1907.82
27_20240613 19,27,20240613 19,29.6,0.0,2.7,43.0,1.0,0.66,1922.22
27_20240613 20,27,20240613 20,27.8,0.0,1.7,43.0,0.5,0.13,1616.22
27_20240613 21,27,20240613 21,26.5,0.0,2.0,47.0,0.0,0.0,1256.22
27_20240613 22,27,20240613 22,25.6,0.0,2.1,51.0,0.0,0.0,811.8
27_20240613 23,27,20240613 23,24.9,0.0,1.2,53.0,0.0,0.0,720.72
27_20240614 00,27,20240614 00,23.9,0.0,2.1,53.0,0.0,0.0,502.92
27_20240614 01,27,20240614 01,23.4,0.0,1.7,57.0,0.0,0.0,397.26
27_20240614 02,27,20240614 02,23.1,0.0,1.7,58.0,0.0,0.0,394.74
27_20240614 03,27,20240614 03,22.3,0.0,2.5,60.0,0.0,0.0,390.06
27_20240614 04,27,20240614 04,21.9,0.0,1.0,69.0,0.0,0.0,394.38
27_20240614 05,27,20240614 05,21.7,0.0,1.1,74.0,0.0,0.0,396.36
27_20240614 06,27,20240614 06,21.6,0.0,1.7,72.0,0.0,0.09,492.66
27_20240614 07,27,20240614 07,22.4,0.0,0.5,70.0,0.6,0.46,645.84
27_20240614 08,27,20240614 08,24.1,0.0,0.9,66.0,1.0,1.07,1048.86
27_20240614 09,27,20240614 09,26.5,0.0,1.4,58.0,1.0,1.76,1750.32
27_20240614 10,27,20240614 10,28.7,0.0,2.2,46.0,1.0,2.48,2018.7
27_20240614 11,27,20240614 11,30.2,0.0,2.5,39.0,1.0,3.01,2026.44
27_20240614 12,27,20240614 12,31.6,0.0,2.7,35.0,1.0,3.42,2064.96
27_20240614 13,27,20240614 13,31.9,0.0,2.8,39.0,0.9,2.97,2022.3
27_20240614 14,27,20240614 14,32.6,0.0,2.7,38.0,0.8,2.42,2063.16
27_20240614 15,27,20240614 15,32.3,0.0,3.8,43.0,0.7,2.17,2064.78
27_20240614 16,27,20240614 16,31.1,0.0,5.5,37.0,0.9,2.4,2057.76
27_20240614 17,27,20240614 17,28.3,0.0,4.4,47.0,0.2,0.93,1996.74
27_20240614 18,27,20240614 18,27.3,0.0,3.4,55.0,0.0,0.74,1999.98
27_20240614 19,27,20240614 19,26.2,0.0,2.9,55.0,0.0,0.27,1902.42
27_20240614 20,27,20240614 20,25.5,0.0,2.1,57.0,0.0,0.05,1637.82
27_20240614 21,27,20240614 21,24.9,0.0,2.3,60.0,0.0,0.0,1285.56
27_20240614 22,27,20240614 22,24.3,0.0,1.9,67.0,0.0,0.0,829.62
27_20240614 23,27,20240614 23,24.0,0.0,1.7,66.0,0.0,0.0,785.88
27_20240615 00,27,20240615 00,23.8,0.0,0.9,65.0,0.0,0.0,521.28
27_20240615 01,27,20240615 01,23.6,0.0,1.1,67.0,0.0,0.0,408.06
27_20240615 02,27,20240615 02,23.4,0.0,1.4,68.0,0.0,0.0,416.34
27_20240615 03,27,20240615 03,23.3,0.0,0.3,69.0,0.0,0.0,404.82
27_20240615 04,27,20240615 04,22.4,3.8,1.9,79.0,0.0,0.0,401.4
27_20240615 05,27,20240615 05,21.9,1.3,0.4,84.0,0.0,0.0,405.18
27_20240615 06,27,20240615 06,21.9,0.3,0.8,85.0,0.0,0.02,486.72
27_20240615 07,27,20240615 07,22.0,0.3,0.9,85.0,0.0,0.17,620.64
27_20240615 08,27,20240615 08,23.1,0.0,0.5,82.0,0.3,0.78,1116.18
27_20240615 09,27,20240615 09,23.7,0.0,1.4,78.0,0.1,1.12,1714.5
27_20240615 10,27,20240615 10,24.5,0.0,1.7,76.0,0.1,1.13,2062.8
27_20240615 11,27,20240615 11,25.0,0.0,1.8,72.0,0.0,1.04,2081.7
27_20240615 12,27,20240615 12,24.9,0.0,2.1,73.0,0.0,0.56,2075.04
27_20240615 13,27,20240615 13,25.0,0.4,1.8,75.0,0.0,0.84,2141.46
27_20240615 14,27,20240615 14,25.9,0.0,2.6,68.0,0.2,1.7,2140.2
27_20240615 15,27,20240615 15,27.2,0.0,2.8,60.0,0.6,2.55,2075.58
27_20240615 16,27,20240615 16,28.0,0.0,3.4,56.0,0.8,2.43,2035.08
27_20240615 17,27,20240615 17,27.9,0.0,2.8,58.0,0.8,1.9,2028.06
27_20240615 18,27,20240615 18,26.8,0.0,3.6,62.0,0.3,0.97,2022.12
27_20240615 19,27,20240615 19,25.6,0.0,2.3,66.0,0.2,0.4,1838.34
27_20240615 20,27,20240615 20,24.6,0.0,2.5,70.0,0.0,0.1,1510.92
27_20240615 21,27,20240615 21,23.8,0.0,2.4,71.0,0.0,0.0,1264.14
27_20240615 22,27,20240615 22,23.1,0.0,2.3,75.0,0.0,0.0,834.48
27_20240615 23,27,20240615 23,22.5,0.0,1.9,77.0,0.0,0.0,740.52
27_20240616 00,27,20240616 00,21.9,0.0,2.1,80.0,0.0,0.0,527.76
27_20240616 01,27,20240616 01,21.5,0.0,1.9,83.0,0.0,0.0,412.92
27_20240616 02,27,20240616 02,21.1,0.0,1.3,85.0,0.0,0.0,423.72
27_20240616 03,27,20240616 03,20.9,0.0,1.2,87.0,0.0,0.0,421.38
27_20240616 04,27,20240616 04,20.4,0.0,2.2,88.0,0.0,0.0,411.48
27_20240616 05,27,20240616 05,20.0,0.0,2.1,87.0,0.0,0.0,418.5
27_20240616 06,27,20240616 06,19.9,0.0,1.9,84.0,0.0,0.06,508.14
27_20240616 07,27,20240616 07,20.7,0.0,2.4,77.0,1.0,0.54,599.22
27_20240616 08,27,20240616 08,22.1,0.0,2.9,70.0,1.0,1.31,1112.94
27_20240616 09,27,20240616 09,23.4,0.0,2.9,65.0,1.0,2.05,1679.4
27_20240616 10,27,20240616 10,24.8,0.0,2.3,56.0,1.0,2.73,1995.66
27_20240616 11,27,20240616 11,26.2,0.0,3.7,47.0,1.0,3.18,1985.58
27_20240616 12,27,20240616 12,27.4,0.0,3.4,42.0,1.0,3.57,1980.9
27_20240616 13,27,20240616 13,28.1,0.0,3.3,42.0,1.0,3.71,1974.24
27_20240616 14,27,20240616 14,28.9,0.0,3.6,41.0,0.9,3.36,1999.98
27_20240616 15,27,20240616 15,29.1,0.0,3.3,42.0,0.8,2.71,2007.72
27_20240616 16,27,20240616 16,29.0,0.0,4.9,46.0,0.9,2.58,1990.98
27_20240616 17,27,20240616 17,28.8,0.0,4.1,42.0,1.0,1.95,1948.68
27_20240616 18,27,20240616 18,27.9,0.0,4.2,43.0,1.0,1.43,1937.52
27_20240616 19,27,20240616 19,26.4,0.0,4.3,47.0,1.0,0.7,1913.94
27_20240616 20,27,20240616 20,24.9,0.0,2.5,49.0,0.6,0.14,1602.36
27_20240616 21,27,20240616 21,23.8,0.0,2.7,49.0,0.0,0.0,1263.42
27_20240616 22,27,20240616 22,23.0,0.0,2.4,49.0,0.0,0.0,855.0
27_20240616 23,27,20240616 23,22.2,0.0,1.9,53.0,0.0,0.0,717.3
27_20240617 00,27,20240617 00,21.6,0.0,2.6,55.0,0.0,0.0,498.06
27_20240617 01,27,20240617 01,21.1,0.0,1.5,55.0,0.0,0.0,395.1
27_20240617 02,27,20240617 02,20.5,0.0,0.9,59.0,0.0,0.0,394.56
27_20240617 03,27,20240617 03,20.3,0.0,1.4,64.0,0.0,0.0,396.54
27_20240617 04,27,20240617 04,19.6,0.0,1.0,67.0,0.0,0.0,413.82
27_20240617 05,27,20240617 05,19.2,0.0,0.4,71.0,0.0,0.0,414.18
27_20240617 06,27,20240617 06,18.9,0.0,0.8,72.0,0.0,0.05,500.76
27_20240617 07,27,20240617 07,20.1,0.0,0.6,68.0,1.0,0.59,618.84
27_20240617 08,27,20240617 08,22.5,0.0,0.6,61.0,1.0,1.31,1021.68
27_20240617 09,27,20240617 09,24.7,0.0,1.5,52.0,1.0,1.98,1693.8
27_20240617 10,27,20240617 10,26.0,0.0,1.5,47.0,1.0,2.41,2014.2
27_20240617 11,27,20240617 11,27.5,0.0,2.3,44.0,1.0,3.11,1972.44
27_20240617 12,27,20240617 12,28.8,0.0,2.8,42.0,1.0,3.26,2039.94
27_20240617 13,27,20240617 13,29.9,0.0,3.5,32.0,1.0,3.44,1985.76
27_20240617 14,27,20240617 14,29.6,0.0,4.0,31.0,1.0,3.16,1968.12
27_20240617 15,27,20240617 15,30.0,0.0,3.8,31.0,1.0,2.7,1970.1
27_20240617 16,27,20240617 16,30.1,0.0,3.3,32.0,1.0,2.39,1965.42
27_20240617 17,27,20240617 17,29.0,0.0,3.3,30.0,0.9,1.6,1927.62
27_20240617 18,27,20240617 18,28.8,0.0,3.3,28.0,1.0,1.44,1878.66
27_20240617 19,27,20240617 19,27.3,0.0,3.4,32.0,0.7,0.57,1849.32
27_20240617 20,27,20240617 20,25.8,0.0,2.9,39.0,0.5,0.16,1548.36
27_20240617 21,27,20240617 21,24.7,0.0,3.6,43.0,0.0,0.0,1283.58
27_20240617 22,27,20240617 22,23.7,0.0,2.9,44.0,0.0,0.0,846.0
27_20240617 23,27,20240617 23,23.0,0.0,3.1,49.0,0.0,0.0,745.92
27_20240618 00,27,20240618 00,22.5,0.0,1.9,55.0,0.0,0.0,523.98
27_20240618 01,27,20240618 01,22.0,0.0,1.8,60.0,0.0,0.0,441.72
27_20240618 02,27,20240618 02,21.5,0.0,1.8,70.0,0.0,0.0,438.48
27_20240618 03,27,20240618 03,21.1,0.0,0.9,75.0,0.0,0.0,440.46
27_20240618 04,27,20240618 04,21.1,0.0,0.9,81.0,0.0,0.0,442.44
27_20240618 05,27,20240618 05,20.6,0.0,0.6,82.0,0.0,0.0,461.7
27_20240618 06,27,20240618 06,20.5,0.0,1.3,83.0,0.0,0.05,484.92
27_20240618 07,27,20240618 07,21.2,0.0,0.8,78.0,1.0,0.5,625.68
27_20240618 08,27,20240618 08,23.6,0.0,1.4,72.0,1.0,1.21,1103.22
27_20240618 09,27,20240618 09,25.2,0.0,1.5,65.0,1.0,1.91,1711.62
27_20240618 10,27,20240618 10,27.1,0.0,1.8,60.0,1.0,2.57,2010.96
27_20240618 11,27,20240618 11,28.4,0.0,2.4,50.0,1.0,3.09,1996.92
27_20240618 12,27,20240618 12,29.9,0.0,2.5,46.0,1.0,3.39,2035.08
27_20240618 13,27,20240618 13,31.3,0.0,2.6,44.0,1.0,3.49,2044.62
27_20240618 14,27,20240618 14,32.7,0.0,2.2,43.0,1.0,3.38,2038.68
27_20240618 15,27,20240618 15,32.6,0.0,3.1,40.0,1.0,3.06,2025.36
27_20240618 16,27,20240618 16,32.4,0.0,3.9,38.0,1.0,2.59,1987.38
27_20240618 17,27,20240618 17,31.9,0.0,3.5,38.0,1.0,1.91,1925.1
27_20240618 18,27,20240618 18,30.5,0.0,3.2,39.0,1.0,1.32,1930.14
27_20240618 19,27,20240618 19,28.5,0.0,3.6,42.0,1.0,0.62,1939.5
27_20240618 20,27,20240618 20,26.5,0.0,2.9,55.0,0.4,0.13,1546.38
27_20240618 21,27,20240618 21,25.0,0.0,3.2,59.0,0.0,0.0,1312.56
27_20240618 22,27,20240618 22,24.4,0.0,2.1,65.0,0.0,0.0,793.26
27_20240618 23,27,20240618 23,23.8,0.0,1.7,68.0,0.0,0.0,702.36
27_20240619 00,27,20240619 00,23.4,0.0,1.1,69.0,0.0,0.0,527.76
27_20240619 01,27,20240619 01,22.9,0.0,1.0,71.0,0.0,0.0,426.42
27_20240619 02,27,20240619 02,22.5,0.0,0.1,73.0,0.0,0.0,427.5
27_20240619 03,27,20240619 03,22.2,0.0,1.2,75.0,0.0,0.0,426.42
27_20240619 04,27,20240619 04,21.9,0.0,1.1,77.0,0.0,0.0,427.14
27_20240619 05,27,20240619 05,21.5,0.0,0.4,80.0,0.0,0.0,435.96
27_20240619 06,27,20240619 06,21.5,0.0,0.4,82.0,0.0,0.06,492.48
27_20240619 07,27,20240619 07,22.7,0.0,1.7,75.0,1.0,0.51,672.84
27_20240619 08,27,20240619 08,24.9,0.0,1.8,67.0,1.0,1.2,1132.74
27_20240619 09,27,20240619 09,26.8,0.0,1.3,62.0,1.0,1.76,1751.4
27_20240619 10,27,20240619 10,28.5,0.0,1.1,54.0,1.0,2.33,2082.06
27_20240619 11,27,20240619 11,30.5,0.0,1.6,46.0,1.0,2.91,2071.8
27_20240619 12,27,20240619 12,32.3,0.0,1.4,39.0,1.0,3.25,2051.46
27_20240619 13,27,20240619 13,34.0,0.0,2.6,38.0,1.0,3.43,2042.1
27_20240619 14,27,20240619 14,34.7,0.0,1.8,34.0,1.0,3.39,2072.88
27_20240619 15,27,20240619 15,35.4,0.0,3.0,34.0,1.0,3.04,2060.1
27_20240619 16,27,20240619 16,35.6,0.0,2.8,35.0,1.0,2.54,2119.5
27_20240619 17,27,20240619 17,35.3,0.0,3.1,35.0,1.0,1.85,2097.54
27_20240619 18,27,20240619 18,34.8,0.0,2.5,35.0,1.0,1.26,2011.32
27_20240619 19,27,20240619 19,33.6,0.0,2.1,36.0,0.9,0.58,1996.56
27_20240619 20,27,20240619 20,32.0,0.0,2.2,42.0,0.1,0.14,1599.66
27_20240619 21,27,20240619 21,30.1,0.0,3.0,49.0,0.0,0.0,1345.5
27_20240619 22,27,20240619 22,29.1,0.0,0.9,52.0,0.0,0.0,867.78
27_20240619 23,27,20240619 23,28.3,0.0,1.2,57.0,0.0,0.0,756.18
27_20240620 00,27,20240620 00,27.6,0.0,1.5,58.0,0.0,0.0,542.34
27_20240620 01,27,20240620 01,27.0,0.0,2.6,53.0,0.0,0.0,445.68
27_20240620 02,27,20240620 02,26.0,0.0,1.8,57.0,0.0,0.0,425.88
27_20240620 03,27,20240620 03,25.0,0.0,1.5,59.0,0.0,0.0,416.88
27_20240620 04,27,20240620 04,24.3,0.0,1.2,62.0,0.0,0.0,415.62
27_20240620 05,27,20240620 05,23.7,0.0,0.8,64.0,0.0,0.0,412.2
27_20240620 06,27,20240620 06,23.4,0.0,1.3,64.0,0.0,0.04,520.02
27_20240620 07,27,20240620 07,24.1,0.0,1.0,62.0,1.0,0.48,640.44
27_20240620 08,27,20240620 08,26.0,0.0,0.3,56.0,1.0,1.19,1074.42
27_20240620 09,27,20240620 09,28.4,0.0,2.2,49.0,1.0,1.9,1768.14
27_20240620 10,27,20240620 10,30.6,0.0,2.3,40.0,1.0,2.55,2063.34
27_20240620 11,27,20240620 11,32.0,0.0,1.5,38.0,1.0,3.01,2045.34
27_20240620 12,27,20240620 12,33.6,0.0,2.6,35.0,1.0,3.26,2036.7
27_20240620 13,27,20240620 13,34.7,0.0,2.5,33.0,1.0,3.21,2081.52
27_20240620 14,27,20240620 14,35.3,0.0,3.1,32.0,1.0,3.13,2135.7
27_20240620 15,27,20240620 15,35.1,0.0,1.9,29.0,0.8,2.31,2052.0
27_20240620 16,27,20240620 16,34.2,0.0,3.6,29.0,0.2,1.64,1986.84
27_20240620 17,27,20240620 17,34.3,0.0,2.1,32.0,0.9,1.65,1996.2
27_20240620 18,27,20240620 18,33.4,0.0,1.9,35.0,0.8,0.85,2033.28
27_20240620 19,27,20240620 19,32.7,0.0,2.7,31.0,1.0,0.59,2057.76
27_20240620 20,27,20240620 20,30.9,0.0,2.3,34.0,0.4,0.18,1591.74
27_20240620 21,27,20240620 21,29.7,0.0,2.2,38.0,0.0,0.0,1311.12
27_20240620 22,27,20240620 22,28.6,0.0,2.1,43.0,0.0,0.0,857.88
27_20240620 23,27,20240620 23,27.1,0.0,2.3,48.0,0.0,0.0,766.8
27_20240621 00,27,20240621 00,26.4,0.0,2.3,52.0,0.0,0.0,510.3
27_20240621 01,27,20240621 01,25.5,0.0,1.7,53.0,0.0,0.0,408.96
27_20240621 02,27,20240621 02,24.4,0.0,1.5,54.0,0.0,0.0,422.46
27_20240621 03,27,20240621 03,23.8,0.0,1.3,55.0,0.0,0.0,401.4
27_20240621 04,27,20240621 04,23.5,0.0,1.1,57.0,0.0,0.0,402.48
27_20240621 05,27,20240621 05,23.1,0.0,0.8,59.0,0.0,0.0,402.84
27_20240621 06,27,20240621 06,23.0,0.0,0.6,61.0,0.0,0.06,500.4
27_20240621 07,27,20240621 07,24.0,0.0,0.8,59.0,0.6,0.43,632.52
27_20240621 08,27,20240621 08,25.9,0.0,0.3,56.0,1.0,1.05,1095.12
27_20240621 09,27,20240621 09,27.8,0.0,1.3,49.0,1.0,1.7,1764.72
27_20240621 10,27,20240621 10,29.9,0.0,2.0,43.0,1.0,2.45,2082.42
27_20240621 11,27,20240621 11,31.3,0.0,3.5,40.0,1.0,3.03,2103.12
27_20240621 12,27,20240621 12,33.0,0.0,2.3,38.0,1.0,3.34,2133.36
27_20240621 13,27,20240621 13,33.7,0.0,2.1,35.0,1.0,3.09,2051.64
27_20240621 14,27,20240621 14,33.0,0.0,3.5,39.0,0.8,2.46,2084.94
27_20240621 15,27,20240621 15,33.2,0.0,2.8,38.0,0.9,2.53,2083.5
27_20240621 16,27,20240621 16,30.8,0.0,4.0,40.0,0.3,1.59,2025.72
27_20240621 17,27,20240621 17,30.2,0.0,3.6,47.0,0.1,1.11,1985.4
27_20240621 18,27,20240621 18,30.3,0.0,3.1,47.0,1.0,1.37,2062.08
27_20240621 19,27,20240621 19,29.2,0.0,2.2,46.0,0.6,0.46,1998.72
27_20240621 20,27,20240621 20,28.1,0.0,1.2,49.0,0.0,0.08,1578.06
27_20240621 21,27,20240621 21,27.6,0.0,2.5,50.0,0.0,0.0,1327.68
27_20240621 22,27,20240621 22,26.7,0.0,2.9,53.0,0.0,0.0,822.24
27_20240621 23,27,20240621 23,26.0,0.0,2.3,59.0,0.0,0.0,728.46
27_20240622 00,27,20240622 00,25.7,0.0,1.2,60.0,0.0,0.0,513.36
27_20240622 01,27,20240622 01,25.6,0.0,2.1,61.0,0.0,0.0,409.68
27_20240622 02,27,20240622 02,25.3,0.0,0.9,61.0,0.0,0.0,398.34
27_20240622 03,27,20240622 03,25.1,0.0,0.8,61.0,0.0,0.0,399.96
27_20240622 04,27,20240622 04,25.2,0.0,1.3,66.0,0.0,0.0,403.56
27_20240622 05,27,20240622 05,25.3,0.0,1.6,70.0,0.0,0.0,409.86
27_20240622 06,27,20240622 06,25.3,0.0,1.1,71.0,0.0,0.0,508.86
27_20240622 07,27,20240622 07,25.3,0.0,1.8,63.0,0.0,0.09,634.5
27_20240622 08,27,20240622 08,25.8,0.0,1.9,66.0,0.0,0.27,1119.6
27_20240622 09,27,20240622 09,26.0,0.0,2.3,67.0,0.0,0.36,1754.46
27_20240622 10,27,20240622 10,25.2,0.1,1.5,74.0,0.0,0.12,2161.98
27_20240622 11,27,20240622 11,23.7,4.0,2.0,86.0,0.0,0.11,2119.5
27_20240622 12,27,20240622 12,22.9,3.2,2.4,88.0,0.0,0.22,2095.02
27_20240622 13,27,20240622 13,22.6,4.1,3.3,91.0,0.0,0.19,2100.78
27_20240622 14,27,20240622 14,22.8,2.4,2.9,92.0,0.0,0.33,2139.12
27_20240622 15,27,20240622 15,23.5,1.2,2.4,90.0,0.0,0.68,2186.1
27_20240622 16,27,20240622 16,23.5,0.9,2.4,90.0,0.0,0.34,2177.64
27_20240622 17,27,20240622 17,23.8,0.1,2.9,88.0,0.0,0.51,2140.74
27_20240622 18,27,20240622 18,23.9,0.0,2.4,88.0,0.0,0.26,2153.88
27_20240622 19,27,20240622 19,23.8,0.0,2.5,87.0,0.0,0.09,2079.36
27_20240622 20,27,20240622 20,23.5,0.1,2.0,90.0,0.0,0.02,2035.44
27_20240622 21,27,20240622 21,23.5,0.0,1.8,89.0,0.0,0.0,1776.78
27_20240622 22,27,20240622 22,23.6,0.0,1.9,87.0,0.0,0.0,1459.44
27_20240622 23,27,20240622 23,23.5,0.0,1.9,87.0,0.0,0.0,1437.12
27_20240623 00,27,20240623 00,23.1,0.4,1.9,91.0,0.0,0.0,808.02
27_20240623 01,27,20240623 01,22.9,0.2,1.8,92.0,0.0,0.0,413.82
27_20240623 02,27,20240623 02,22.7,0.1,1.3,92.0,0.0,0.0,396.36
27_20240623 03,27,20240623 03,22.6,0.3,1.0,92.0,0.0,0.0,401.4
27_20240623 04,27,20240623 04,22.6,0.7,0.4,93.0,0.0,0.0,399.96
27_20240623 05,27,20240623 05,22.6,0.5,0.2,93.0,0.0,0.0,407.7
27_20240623 06,27,20240623 06,22.6,0.3,0.5,93.0,0.0,0.01,423.36
27_20240623 07,27,20240623 07,22.7,0.0,1.0,91.0,0.0,0.2,473.76
27_20240623 08,27,20240623 08,23.3,0.0,0.9,89.0,0.0,0.46,510.12
27_20240623 09,27,20240623 09,24.0,0.0,1.2,86.0,0.0,0.76,574.02
27_20240623 10,27,20240623 10,25.0,0.0,1.7,82.0,0.1,1.39,618.48
27_20240623 11,27,20240623 11,26.6,0.0,2.6,75.0,0.6,2.21,603.0
27_20240623 12,27,20240623 12,27.8,0.0,2.8,68.0,0.7,2.67,608.58
27_20240623 13,27,20240623 13,28.6,0.0,1.9,63.0,0.5,2.63,544.68
27_20240623 14,27,20240623 14,30.0,0.0,2.8,61.0,0.7,3.0,567.18
27_20240623 15,27,20240623 15,29.2,0.0,3.5,62.0,0.3,1.75,608.4
27_20240623 16,27,20240623 16,28.7,0.0,4.5,63.0,0.3,1.44,604.62
27_20240623 17,27,20240623 17,27.8,0.0,4.6,64.0,0.4,1.32,615.6
27_20240623 18,27,20240623 18,27.1,0.0,3.3,69.0,0.2,0.74,627.84
27_20240623 19,27,20240623 19,25.7,0.0,3.1,74.0,0.0,0.21,621.9
27_20240623 20,27,20240623 20,24.9,0.0,4.0,78.0,0.0,0.05,634.86
27_20240623 21,27,20240623 21,24.7,0.0,2.7,80.0,0.0,0.0,647.64
27_20240623 22,27,20240623 22,24.1,3.0,3.6,85.0,0.0,0.0,636.3
27_20240623 23,27,20240623 23,22.8,0.0,0.6,86.0,0.0,0.0,453.96
27_20240624 00,27,20240624 00,22.7,0.0,2.0,86.0,0.0,0.0,433.08
27_20240624 01,27,20240624 01,22.7,0.0,1.1,86.0,0.0,0.0,413.28
27_20240624 02,27,20240624 02,22.8,0.0,0.2,87.0,0.0,0.0,413.28
27_20240624 03,27,20240624 03,23.0,0.0,2.9,89.0,0.0,0.0,410.4
27_20240624 04,27,20240624 04,23.0,0.0,3.0,88.0,0.0,0.0,412.74
27_20240624 05,27,20240624 05,22.8,0.0,2.8,88.0,0.0,0.0,421.02
27_20240624 06,27,20240624 06,22.8,0.0,2.7,87.0,0.0,0.05,554.4
27_20240624 07,27,20240624 07,23.1,0.0,3.2,85.0,0.0,0.35,667.44
27_20240624 08,27,20240624 08,23.8,0.0,1.6,83.0,0.0,0.55,845.1
27_20240624 09,27,20240624 09,24.4,0.0,3.0,79.0,0.1,0.85,1845.72
27_20240624 10,27,20240624 10,25.3,0.0,2.5,73.0,0.4,1.37,2236.32
27_20240624 11,27,20240624 11,26.6,0.0,2.9,68.0,0.5,2.02,2186.46
27_20240624 12,27,20240624 12,27.1,0.0,3.9,65.0,0.5,2.06,2158.38
27_20240624 13,27,20240624 13,27.6,0.0,3.0,62.0,0.5,2.29,2114.64
27_20240624 14,27,20240624 14,27.3,0.0,3.6,59.0,0.4,1.82,2113.02
27_20240624 15,27,20240624 15,27.1,0.0,4.2,56.0,0.6,1.93,2072.16
27_20240624 16,27,20240624 16,27.4,0.0,4.1,45.0,1.0,2.47,2030.04
27_20240624 17,27,20240624 17,27.0,0.0,4.5,57.0,1.0,1.83,2103.12
27_20240624 18,27,20240624 18,26.0,0.0,4.1,56.0,0.9,1.26,2003.4
27_20240624 19,27,20240624 19,24.7,0.0,3.3,56.0,1.0,0.66,1973.88
27_20240624 20,27,20240624 20,23.5,0.0,3.3,63.0,0.1,0.11,1772.64
27_20240624 21,27,20240624 21,22.6,0.0,2.3,68.0,0.0,0.0,1308.6
27_20240624 22,27,20240624 22,22.2,0.0,2.8,71.0,0.0,0.0,844.92
